"id","parentCategoryId","name"
"1",,"Book"
"1-1",1,"Manga and comics"
"1-1-1","1-1","Manga"
"1-1-2","1-1","Humor"
"1-1-3","1-1","comics"
"1-1-4","1-1","Comics"
"1-1-5","1-1","Adventure"
"1-1-6","1-1","Used manga and comics"
"1-2",1,"Literature and Fiction"
"1-2-1","1-2","E-Book"
"1-2-2","1-2","Science fiction"
"1-2-3","1-2","French literature"
"1-2-4","1-2","Foreign literature"
"1-2-5","1-2","Novel"
"1-2-6","1-2","Police and thriller"
"1-2-7","1-2","Teenager and young adult"
"1-2-8","1-2","Used literature and fiction"
"1-3",1,"Children's and Youth Books"
"1-3-1","1-3","Book 0-3 years"
"1-3-2","1-3","Book 3-6 years old"
"1-3-3","1-3","Book 6-9 years old"
"1-3-4","1-3","Used children's book"
"1-4",1,"E-Book and E-Reader"
"1-4-1","1-4","E-Book"
"1-4-2","1-4","Kindle e-reader"
"1-4-3","1-4","Kobo eReader"
"1-5",1,"Leisure and Well-being"
"1-5-1","1-5","Kitchen"
"1-5-2","1-5","Health and medicine"
"1-5-3","1-5","Psychology and psychoanalysis"
"1-5-4","1-5","Leisure and well-being second-hand"
"1-6",1,"Society and Culture"
"1-6-1","1-6","News and media"
"1-6-2","1-6","Political science"
"1-6-3","1-6","All society and culture"
"1-6-4","1-6","Second-hand society and culture"
"1-7",1,"School Supplies and Manuals"
"1-7-1","1-7","Stationery and supplies"
"1-7-2","1-7","Holiday workbook"
"1-7-3","1-7","Textbook"
"1-7-4","1-7","Used school supplies and textbooks"
"1-8",1,"Occasion"
"1-8-1","1-8","Manga and comics"
"1-8-2","1-8","Children's and youth books"
"1-8-3","1-8","Literature and fiction"
"1-8-4","1-8","Society and culture"
"1-8-5","1-8","School supplies and textbooks"
2,,"Music, CD"
"2-1",2,"CD by Genre"
"2-1-1","2-1","French variety"
"2-1-2","2-1","Metal"
"2-1-3","2-1","Classic"
"2-1-4","2-1","International variety"
"2-1-5","2-1","Rock"
"2-1-6","2-1","Pop"
"2-1-7","2-1","Jazz"
"2-1-8","2-1","Film music"
"2-2",2,"Vinyl"
"2-2-1","2-2","45 rpm"
"2-2-2","2-2","Vinyl 25cm"
"2-2-3","2-2","Vinyl Juke Box"
"2-2-4","2-2","33 rpm"
"2-2-5","2-2","Maxi 45 rpm"
"2-2-6","2-2","78 rpm"
"2-3",2,"Musical instrument"
"2-3-1","2-3","Guitar and bass"
"2-3-2","2-3","Drums and percussion"
"2-3-3","2-3","Stringed instrument"
"2-3-4","2-3","Lectern"
"2-3-5","2-3","Accessory"
"2-3-6","2-3","Piano and keyboard"
"2-3-7","2-3","Wind instrument"
"2-3-8","2-3","Studio instrument"
"2-4",2,"Partition"
"2-4-1","2-4","Partition"
"2-4-2","2-4","Songbook"
"2-4-3","2-4","Used sheet music"
"2-4-4","2-4","Method"
"2-5",2,"Player, Sound and Home Studio"
"2-5-1","2-5","Vinyl Turntable"
"2-5-2","2-5","Mixing table"
"2-5-3","2-5","Accessory"
"2-5-4","2-5","Pregnant"
"2-5-5","2-5","Microphone"
"2-6",2,"Headphones and Earphones"
"2-6-1","2-6","Studio headphones"
"2-6-2","2-6","Wireless headset"
"2-6-3","2-6","Wired headset"
"2-6-4","2-6","Wireless earphone"
"2-6-5","2-6","Wired earphone"
