id,category1Name,category2Name,category3Name,categoryId,ean,upcCode,name,description,brand,mediaUrl
4123018513199-1000,Book,Manga and Comics,Manga,1-1-1,4123018513199,412301851319,"Naruto and the dragon Karimo - manga","Dive into a thrilling adventure, ideal for comic book fans.","HarperCollins",https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018513199.jpg
4123018513266-1000,Book,Manga and Comics,Humor,1-1-2,4123018513266,412301851326,The adventures of Spirou and Fantasio - humor,"A classic of the genre, reprinted in a superior quality edition.",Gallimard,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018513266.jpg
4123018513333-1000,Book,Manga and Comics,Comic Book,1-1-3,4123018513333,412301851333,New epic: comic book,"A classic of the genre, reprinted in a superior quality edition.",Flammarion,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018513333.jpg
4123018513400-1000,Book,Manga and Comics,Comics,1-1-4,4123018513400,412301851340,Collector's edition: comics,A must-have masterpiece for all fans of classic comics.,Flammarion,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018513400.jpg
4123018513577-1000,Book,Manga and Comics,Adventure,1-1-5,4123018513577,412301851357,Collector's edition: adventure,"A captivating story for young and old, not to be missed.",HarperCollins,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018513577.jpg
4123018513644-1000,Book,Manga and Comics,Used Manga and Comics,1-1-6,4123018513644,412301851364,Tintin in Tibet - used manga and comics,"Dive into a thrilling adventure, ideal for comic book fans.",HarperCollins,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018513644.jpg
4123018513711-1000,Book,Literature and Fiction,E-Book,1-2-1,4123018513711,412301851371,Asterix and the Normans - e-book,The perfect album to enrich your comic book collection.,Flammarion,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018513711.jpg
4123018513888-1000,Book,Literature and Fiction,Science Fiction,1-2-2,4123018513888,412301851388,Tintin in Morocco - science fiction,"A captivating Tintin story for young and old, not to be missed.",HarperCollins,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018513888.jpg
4123018513955-1000,Book,Literature and Fiction,French Literature,1-2-3,4123018513955,412301851395,New epic: French literature,"A captivating story for young and old, not to be missed.",Flammarion,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018513955.jpg
4123018514011-1000,Book,Literature and Fiction,Foreign Literature,1-2-4,4123018514011,412301851401,Asterix and the Normans - foreign literature,"Dive into a thrilling adventure, ideal for comic book fans.",Penguin,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018514011.jpg
